x,y
-94.843919,7.882437
-95.014968,7.986848
-95.528113,8.300081
-96.041258,8.613313
-96.212307,8.717724
-95.699161,8.404491
-95.870210,8.508902
-93.646580,7.151562
-93.817629,7.255973
-93.304483,6.942740
-93.475532,7.047151
-93.988677,7.360384
-94.501822,7.673616
-94.672871,7.778027
-94.159725,7.464794
-94.330774,7.569205
-96.383355,8.822134
-98.435936,10.075064
-98.606985,10.179474
-98.093839,9.866242
-98.264888,9.970653
-98.778033,10.283885
-99.291178,10.597118
-99.462227,10.701528
-98.949081,10.388296
-99.120130,10.492707
-96.896500,9.135367
-97.067549,9.239777
-96.554403,8.926545
-96.725452,9.030956
-97.238597,9.344188
-97.751742,9.657421
-97.922791,9.761831
-97.409646,9.448599
-97.580694,9.553010
-116.122340,14.421230
-116.322737,14.421230
-115.721545,14.421230
-115.921942,14.421230
-116.523135,14.421230
-117.124327,14.421230
-117.324725,14.421230
-116.723532,14.421230
-116.923930,14.421230
-114.318762,14.421230
-114.519159,14.421230
-113.917967,14.421230
-114.118364,14.421230
-114.719557,14.421230
-115.320749,14.421230
-115.521147,14.421230
-114.919954,14.421230
-115.120352,14.421230
-117.525122,14.421230
-119.929893,14.421230
-120.130290,14.421230
-119.529098,14.421230
-119.729495,14.421230
-120.330688,14.421230
-120.931881,14.421230
-121.132278,14.421230
-120.531086,14.421230
-120.731483,14.421230
-118.126315,14.421230
-118.326713,14.421230
-117.725520,14.421230
-117.925917,14.421230
-118.527110,14.421230
-119.128303,14.421230
-119.328700,14.421230
-118.727508,14.421230
-118.927905,14.421230
-113.717569,14.421230
-108.507233,14.421230
-108.707631,14.421230
-108.106438,14.421230
-108.306835,14.421230
-108.908028,14.421230
-109.509221,14.421230
-109.709618,14.421230
-109.108426,14.421230
-109.308823,14.421230
-106.703769,14.414588
-106.904054,14.420901
-106.304762,14.377925
-106.503898,14.400255
-107.104450,14.421230
-107.705643,14.421230
-107.906040,14.421230
-107.304848,14.421230
-107.505245,14.421230
-109.910016,14.421230
-112.314786,14.421230
-112.515184,14.421230
-111.913991,14.421230
-112.114389,14.421230
